Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Sudan,...,...,Export,No. Of Export partners,             98.00,,             98.00,,,            141.00,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,...,...,Export,No. Of Export products,            307.00,,            330.00,,,            431.00,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,...,...,Import,No. Of Import partners,            180.00,,            164.00,,,            175.00,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,...,...,Import,No. Of Import products,           3411.00,,           3245.00,,,           3266.00,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,...,...,Tariff,No. Of Tariff Agreement,              5.00,,,,,              4.00,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             81.14,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            734.40,,           3153.04,,,            191.88,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2260.46,,           1915.01,,,           1222.23,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            427.77,,            151.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            545.63,,,            482.33,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Ethiopia(excludes Eritrea),All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            151.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            204.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            704.48,,            717.67,,,            665.45,,,,,,,,,,,,,,,,,,,,,,,,
